Name,Country,Publication,Entry_Force,Disease
General Health Law,Dominican Republic,8-Mar-01,8-Mar-01,"Diphtheria,Tetanus,Pertussis,Haemophilus influenzae type B,Hepatitis B,Measles,Polio,Streptococcus pneumoniae,Mumps,Rubella,Tuberculosis (all forms),Influenza,Rotavirus"
Organic Law on Health,Ecuador,18-Dec-15,18-Dec-15,
Vaccination Manual for Vaccine-Preventable Diseases,Ecuador,1-Jan-19,1-Jan-19,"Diphtheria,Tetanus,Pertussis,Measles,Mumps,Rubella,Yellow Fever,Varicella,Influenza,Human Papillomavirus,Tuberculosis (all forms),Hepatitis B,Rotavirus,Streptococcus pneumoniae,Haemophilus influenzae type B"
"Law No. 12 of 1996 promulgating the Children’s Law, amended by Law No. 126 of 2008",Egypt,1-Jan-96,10-Jul-08,"Diphtheria,Tetanus,Hepatitis B,Measles,Mumps,Rubella,Polio,Tuberculosis (all forms),Pertussis,Varicella"
Law No. 137 of 1958 on the Precaution Measures Against Infectious Disease,Egypt,1-Jan-58,1-Jan-58,"Diphtheria,Smallpox"
Decree No. 955 - Health Code,El Salvador,28-Apr-88,19-May-88,
Law on Vaccines,El Salvador,23-Mar-12,24-Apr-12,"Tuberculosis (all forms),Hepatitis B,Diphtheria,Pertussis,Tetanus,Haemophilus influenzae type B,Polio,Rotavirus,Streptococcus pneumoniae,Measles,Mumps,Rubella,Hepatitis A,Varicella,Human Papillomavirus,Yellow Fever"
Law on the Basis of Health,Equatorial Guinea,25-Sep-81,25-Sep-81,
The Public Health Act,Eswatini (Swaziland),1-Aug-69,1-Aug-69,
Public Health Act,Fiji,1-Jan-36,1-Jan-36,
Communicable Diseases Act,Finland,21-Dec-16,1-Mar-17,
"Public Health Code, Third Part, Book 1, Title 1, Chapter 1: Vaccinations",France,1-Jan-18,1-Jan-18,"Measles,Mumps,Rubella,Polio,Pertussis,Tetanus,Diphtheria,Hepatitis B,Haemophilus influenzae type B,Streptococcus pneumoniae,meningococcal disease"
Law of Georgia No. 5069 about Public Health,Georgia,27-Jun-07,12-Jul-07,
Law of Georgia on Public Health,Georgia,12-Jul-07,12-Jul-07,
Law for Protection against Measles and to Strengthen Vaccination Prevention,Germany,13-Feb-20,1-Mar-20,Measles
"Public Health Act, 2012",Ghana,9-Oct-12,9-Oct-12,
Vaccination Act,Grenada,"September 9, 1873","September 9, 1873",Smallpox
Public Health Code,Guinea,19-Jun-97,19-Jun-97,"Diphtheria,Tetanus,Pertussis,Haemophilus influenzae type B,Hepatitis B,Tuberculosis (all forms),Measles,meningococcal disease,Polio,Yellow Fever"
Public Health (School Children) Immunisation Act 1974,Guyana,25-Oct-74,25-Oct-74,"Diphtheria,Tetanus,Polio,Smallpox,Pertussis,Tuberculosis (all forms)"
Vaccine Law of the Republic of Honduras ,Honduras,26-Mar-14,24-Jul-14,"Measles,Polio,Tuberculosis (all forms),Pertussis,Tetanus,Diphtheria,Hepatitis B,Hepatitis A,Haemophilus influenzae type B,Varicella,Rotavirus,Streptococcus pneumoniae"
"National Vaccination Scheme, Honduras 2023",Honduras,10-Dec-22,1-Jan-23,
On the necessary epidemiological measures to prevent infectious diseases and epidemics,Hungary,1-Jan-98,1-Jan-98,"Tuberculosis (all forms),Diphtheria,Pertussis,Tetanus,Polio,Measles,Rubella,Mumps,Haemophilus influenzae type B,Hepatitis B,Streptococcus pneumoniae,Varicella"
Regulation of the Minister of Health of the Republic of Indonesia Number 12 of 2017 About Organization of Immunization,Indonesia,11-Apr-17,11-Apr-17,"Hepatitis B,Haemophilus influenzae type B,Polio,Tuberculosis (all forms),Diphtheria,Tetanus,Pertussis,Measles"
Law of the Republic of Indonesia Number 23 of 2002 About Child Protection,Indonesia,27-Dec-02,27-Dec-02,
The law on how to prevent sexually transmitted diseases and infectious diseases,Iran (Islamic Republic of),26-Jun-99,26-Jun-99,Smallpox
Public Health Law No. 89 of 1981,Iraq,1-Aug-81,30-Sep-81,"Tuberculosis (all forms),Hepatitis B,Haemophilus influenzae type B,Rotavirus,Diphtheria,Tetanus,Pertussis,Influenza,Measles,Mumps,Rubella,Streptococcus pneumoniae,Polio"
"Public Health Ordinance, 1940",Israel,1-Jan-40,1-Jan-40,
Urgent provisions on vaccination prevention,Italy,31-Jul-17,1-Aug-17,"Measles,Polio,Pertussis,Tetanus,Diphtheria,Hepatitis B,Haemophilus influenzae type B,Varicella"
"The Public Health (Immunization) Regulations, 1986",Jamaica,7-Aug-86,1-Sep-86,"Diphtheria,Tetanus,Pertussis,Polio,Rubella,Measles,Tuberculosis (all forms)"
Immunization Act,Japan,27-Nov-13,27-Nov-13,
Public Health Law,Jordan,30-Jun-08,30-Jun-08,"Tuberculosis (all forms),Polio,Measles,Diphtheria,Pertussis,Tetanus,Hepatitis B,Haemophilus influenzae type B,Influenza,Rotavirus,Mumps,Rubella"
"Resolution No. 612 of the Government of the Republic of Kazakhstan dated September 24, 2020",Kazakhstan,24-Sep-20,24-Sep-20,"Hepatitis B,Diphtheria,Pertussis,Rubella,Streptococcus pneumoniae,Polio,Tetanus,Tuberculosis (all forms),Measles"
"Minister of Health of the Republic of Kazakhstan m.a. Order No. 150 of September 21, 2023",Kazakhstan,21-Sep-23,21-Sep-23,
Public Health Act,Kenya,6-Sep-21,6-Sep-21,
Law No. (21) of 2015 on Child’s Rights,Kuwait,4-May-15,4-Nov-15,"Tuberculosis (all forms),Diphtheria,Tetanus,Pertussis,Hepatitis B,Haemophilus influenzae type B,Polio,Measles,Mumps,Rubella,Streptococcus pneumoniae,meningococcal disease"
Law No. 8 of 1969 regarding health precautions to prevent communicable diseases,Kuwait,7-Apr-69,7-Apr-69,
About public health,Kyrgyzstan,24-Jul-09,24-Jul-09,"Diphtheria,Tetanus,Haemophilus influenzae type B,Hepatitis B,Measles,Mumps,Rubella,Streptococcus pneumoniae,Rotavirus,Polio,Tuberculosis (all forms),Pertussis"
Law on Vaccination,Lao People's Democratic Republic (Laos; Lao PDR),25-Jun-18,9-Aug-18,"Tuberculosis (all forms),Tetanus,Diphtheria,Pertussis,Hepatitis B,Haemophilus influenzae type B,Japanese Encephalitis,Measles,Mumps,Rubella,Rotavirus,Human Papillomavirus"
Vaccination Rules,Latvia,26-Sep-00,30-Sep-00,"Tuberculosis (all forms),Diphtheria,Tetanus,Pertussis,Polio,Measles,Rubella,Mumps,Haemophilus influenzae type B,Hepatitis B,Varicella,Streptococcus pneumoniae,Rotavirus,Human Papillomavirus"
Epidemiological Safety Law,Latvia,11-Dec-97,1-Jan-98,
The Public Health Order 1970,Lesotho,1-Jan-70,1-Jan-70,Smallpox
Public Health Law,Liberia,1-Dec-17,1-Dec-17,"Smallpox,Measles,Polio"
Minister of Health Resolution No. 456 of 1975 - Issuing the Executive Regulations for the Health Law,Libya,1-Sep-75,1-Sep-75,"Tuberculosis (all forms),Measles,Polio"
Law No. (106) Of 1973 Issuing The Health Code,Libya,1-Jan-73,1-Jan-73,
Health Code,Madagascar,27-May-11,27-May-11,Tuberculosis (all forms)
Public Health Act (Chapter 34:01),Malawi,29-Jul-48,29-Jul-48,Smallpox
Prevention and Control of Infectious Diseases Act 1988,Malaysia,13-Aug-88,1-Jan-06,
Public Health Protection Act,Maldives,17-Dec-12,17-Dec-12,"Tetanus,Diphtheria,Pertussis,Haemophilus influenzae type B,Hepatitis B,Measles,Mumps,Rubella,Polio,Tuberculosis (all forms)"
Governing the fight against epidemics and compulsory vaccinations against certain diseases,Mali,18-May-98,18-May-98,"Tuberculosis (all forms),Diphtheria,Tetanus,Pertussis,Yellow Fever,Measles,Polio"
Public Health Act,Malta,21-Nov-03,21-Nov-03,"Polio,Diphtheria,Tetanus"
General Law on Health,Mexico,29-May-23,29-May-23,"Tuberculosis (all forms),Hepatitis B,Rotavirus,Influenza,Streptococcus pneumoniae,Measles,Mumps,Rubella,Diphtheria,Pertussis,Tetanus,Haemophilus influenzae type B,Polio"
"Title 41 Public Health, Safety and Welfare",Micronesia (Federated States of Micronesia),22-Dec-92,22-Dec-92,"Diphtheria,Tetanus,Pertussis,Haemophilus influenzae type B,Hepatitis B,Measles,Polio,Streptococcus pneumoniae,Mumps,Rubella,Tuberculosis (all forms),Rotavirus,Human Papillomavirus"
"Law No. 882 of May 29, 1970 concerning compulsory vaccination",Monaco,29-May-70,29-May-70,"Diphtheria,Tetanus,Polio"
Mongolian Law On Immunization,Mongolia,20-Apr-00,20-Apr-00,"Tuberculosis (all forms),Polio,Hepatitis A,Hepatitis B,Diphtheria,Tetanus,Pertussis,Measles,Mumps,Rubella,Haemophilus influenzae type B,Streptococcus pneumoniae,Human Papillomavirus"
Law on the Protection of the Population from Infectious Diseases,Montenegro,15-Oct-21,15-Oct-21,"Tuberculosis (all forms),Diphtheria,Tetanus,Pertussis,Polio,Measles,Mumps,Rubella,Hepatitis B,Haemophilus influenzae type B"
Law No. 3/22 Public Health Law,Mozambique,10-Feb-22,10-Feb-22,
Prevention and Control of Communicable Diseases Law ,Myanmar (Burma),20-Mar-95,20-Mar-95,
General Health Law,Nicaragua,14-Mar-02,13-Nov-02,"Tuberculosis (all forms),Polio,Diphtheria,Pertussis,Tetanus,Hepatitis B,Haemophilus influenzae type B,Rotavirus,Streptococcus pneumoniae,Measles,Mumps,Rubella,Influenza"
Law on the Protection of the Population from Contagious Diseases,North Macedonia (Macedonia; FYROM),16-Sep-04,16-Sep-04,"Tuberculosis (all forms),Diphtheria,Tetanus,Pertussis,Polio,Measles,Mumps,Rubella,Hepatitis B"
Child Law,Oman,19-May-14,19-May-14,"Diphtheria,Pertussis,Tetanus,Measles,Tuberculosis (all forms),Polio,Haemophilus influenzae type B,Hepatitis B,Mumps,Rubella,Varicella,Streptococcus pneumoniae"
The Law on the Control of Communicable Diseases Promulgated by Royal Decree 73/92,Oman,23-Mar-20,23-Mar-20,
"Title 34 Public Health, Safety and Welfare",Palau,1-Jan-66,,
Regulating the vaccination process in the Republic of Panama,Panama,5-Dec-07,5-Dec-07,"Diphtheria,Tetanus,Haemophilus influenzae type B,Hepatitis B,Measles,Mumps,Rubella,Streptococcus pneumoniae,Rotavirus,Polio,Tuberculosis (all forms),Varicella,Human Papillomavirus,Influenza,COVID-19,Hepatitis A"
National Pandemic Act 2020,Papua New Guinea,12-Jun-20,16-Jun-20,
National Vaccines,Paraguay,21-May-12,21-May-12,"Tuberculosis (all forms),Hepatitis B,Rotavirus,Diphtheria,Tetanus,Pertussis,Polio,Haemophilus influenzae type B,Streptococcus pneumoniae,Measles,Mumps,Rubella,Yellow Fever,Varicella,Hepatitis A,Influenza"
General Vaccine Law,Peru,21-Jun-03,22-Jun-03,
General Health Law,Peru,15-Jul-97,15-Jul-97,
Ministerial Resolution No 719-2018/MINSA,Peru,1-Aug-18,1-Aug-18,"Diphtheria,Pertussis,Tetanus,Haemophilus influenzae type B,Hepatitis B,Polio,Streptococcus pneumoniae,Rotavirus,Tuberculosis (all forms),Influenza,Measles,Mumps,Rubella,Varicella,Yellow Fever,Hepatitis A"
An Act Providing for Mandatory Basic Immunization Services for Infants and Children,Philippines,21-Jun-11,6-Jul-11,"Tuberculosis (all forms),Tetanus,Diphtheria,Pertussis,Hepatitis B,Haemophilus influenzae type B,Measles,Mumps,Rubella"
"Announcement of the Chief Sanitary Inspector of October 28, 2022 on the Preventive Vaccination Program for 2023",Poland,28-Oct-22,28-Oct-22,
On preventing and combating infections and infectious diseases in humans,Poland,5-Dec-08,5-Dec-08,"Measles,Polio,Tuberculosis (all forms),Pertussis,Tetanus,Diphtheria,Hepatitis B,Haemophilus influenzae type B,Streptococcus pneumoniae"
Act of 17 June 1966 on Enforcement Proceedings in Administration,Poland,17-Jun-66,17-Jun-66,
Decree‐Law No. 17 of 1990 On Protection from Infectious Diseases,Qatar,1-Jan-90,1-Jan-90,"Diphtheria,Pertussis,Tetanus,Measles,Tuberculosis (all forms),Polio,Haemophilus influenzae type B,Hepatitis B,Rotavirus,Streptococcus pneumoniae,Mumps,Rubella,Varicella"
Infectious Disease Prevention Act,Republic of Korea (South Korea; ROK),14-Sep-23,15-Dec-23,"Tuberculosis (all forms),Diphtheria,Pertussis,Tetanus,Measles,Mumps,Rubella,Hepatitis A,Hepatitis B,Varicella,Japanese Encephalitis,Haemophilus influenzae type B,Streptococcus pneumoniae,Influenza,Human Papillomavirus,Rotavirus"
Regarding state supervision of public health,Republic of Moldova,3-Feb-09,3-Feb-09,
Regarding the approval of the National Program of Immunizations for the years 2023-2027,Republic of Moldova,1-Jan-23,1-Jan-23,"Hepatitis B,Tuberculosis (all forms),Polio,Rotavirus,Streptococcus pneumoniae,Diphtheria,Pertussis,Tetanus,Measles,Mumps,Rubella,Human Papillomavirus"
Law regarding the organization and financing of population vaccination activity in Romania,Romania,31-Jul-17,1-Jan-18,"Hepatitis B,Haemophilus influenzae type B,Measles,Mumps,Pertussis,Streptococcus pneumoniae,Polio,Rubella,Tuberculosis (all forms),Tetanus,Diphtheria"
On immunoprophylaxis of infectious diseases,Russian Federation,17-Sep-98,17-Sep-98,"Diphtheria,Tetanus,Pertussis,Hepatitis B,Haemophilus influenzae type B,Polio,Measles,Mumps,Rubella,Human Papillomavirus,Streptococcus pneumoniae,Rotavirus,Tuberculosis (all forms)"
"Education Act, 2005",Saint Kitts and Nevis (St Kitts and Nevis),1-Jan-05,1-Jan-05,"Measles,Mumps,Rubella,Hepatitis B,Polio"
Public Health Act,Saint Kitts and Nevis (St Kitts and Nevis),1-Dec-70,31-Dec-20,
Vaccination Act,Saint Lucia (St Lucia),,,Smallpox
Immunisation of Children Act,Saint Vincent and the Grenadines (St Vincent and the Grenadines),27-Apr-82,27-Apr-82,"Tuberculosis (all forms),Diphtheria,Polio,Measles,Tetanus,Pertussis"
Vaccination Regulations,San Marino,23-May-95,22-Jul-95,"Diphtheria,Tetanus,Pertussis,Haemophilus influenzae type B,Hepatitis B,Measles,Polio,Mumps,Rubella"
Executive Regulations of Child Protection Law,Saudi Arabia,14-Aug-15,12-Nov-15,"Hepatitis B,Haemophilus influenzae type B,Rotavirus,Diphtheria,Tetanus,Pertussis,Streptococcus pneumoniae,Polio,Measles,Mumps,Rubella,meningococcal disease,Hepatitis A,Varicella,Human Papillomavirus"
Decree on the protection of population from infectious diseases,Serbia,25-Feb-16,25-Feb-16,"Tuberculosis (all forms),Diphtheria,Measles,Mumps,Rubella,Tetanus,Pertussis,Streptococcus pneumoniae,Hepatitis B,Haemophilus influenzae type B"
Public Health Act 2022,Sierra Leone,21-Mar-23,21-Mar-23,
Infectious Diseases Act 1976,Singapore,1-Aug-77,1-Aug-77,"Measles,Diphtheria"
Decree of the Ministry of Health of the Slovak Republic establishing details on the prevention and control of communicable diseases,Slovakia,20-Dec-08,20-Dec-08,"Diphtheria,Tetanus,Pertussis,Polio,Haemophilus influenzae type B,Hepatitis B,Streptococcus pneumoniae,Measles,Mumps,Rubella"
"On the protection, support and development of public health ",Slovakia,31-Jul-07,31-Jul-07,
Infectious Diseases Act,Slovenia,30-Mar-06,12-Jan-06,"Haemophilus influenzae type B,Diphtheria,Tetanus,Pertussis,Polio,Measles,Mumps,Rubella,Hepatitis A,Influenza,Tuberculosis (all forms)"
Regulations Regarding Communicable Diseases,South Africa,25-Jan-08,25-Jan-08,
"Decree of July 26, 1945 approving the Regulations for the fight against Infectious Diseases, Disinfection and Disinfestation",Spain,5-Aug-45,5-Nov-79,
Vaccination Ordinance,Sri Lanka,"July 1, 1887","July 1, 1887",Smallpox
National Public Health Act of 2008,Sudan,27-Jul-08,27-Jul-08,"Polio,Measles,Tuberculosis (all forms),Haemophilus influenzae type B,Hepatitis B,Diphtheria,Tetanus,Pertussis"
Health Code of the Republic of Tajikistan,Tajikistan,30-May-17,30-May-17,"Tuberculosis (all forms),Measles,Mumps,Rubella,Polio,Hepatitis B,Tetanus,Diphtheria"
Communicable Diseases Act B.E. 2558 (2015),Thailand,8-Sep-15,6-Mar-16,
Public Health Code of the Togolese Republic,Togo,15-May-09,15-May-09,Tuberculosis (all forms)
Public Health (Nursery Schools and Primary Schools) Immunization Act,Trinidad and Tobago,1-Jan-70,31-Dec-16,"Polio,Diphtheria,Tetanus,Measles,Yellow Fever"
"Decision of the Minister of Public Health dated October 28, 2005 fixing the list of compulsory vaccinations",Tunisia,28-Oct-05,28-Oct-05,"Tuberculosis (all forms),Polio,Measles,Diphtheria,Pertussis,Tetanus,Hepatitis B,Rubella"
Law of Turkmenistan on the prevention of infectious diseases,Turkmenistan,13-Mar-21,13-Mar-21,"Hepatitis A,Hepatitis B,Tuberculosis (all forms),Polio,Tetanus,Diphtheria,Pertussis,Haemophilus influenzae type B,Streptococcus pneumoniae,Rotavirus,Measles,Mumps,Rubella,Human Papillomavirus"
The Public Health Act,Uganda,15-Oct-35,15-Oct-35,
"The Public Health (Amendment) Bill, 2021",Uganda,11-Feb-23,11-Feb-23,"Polio,Tuberculosis (all forms),Diphtheria,Pertussis,Tetanus,Haemophilus influenzae type B,Hepatitis B,Streptococcus pneumoniae,Rotavirus,Measles"
On the protection of the population from infectious diseases,Ukraine,6-Apr-00,1-Jan-01,"Diphtheria,Measles,Pertussis,Polio,Tuberculosis (all forms),Tetanus"
Federal Law No.14 of 2014 on Combatting Communicable Diseases,United Arab Emirates (UAE),1-Jan-14,31-Jan-14,"Tuberculosis (all forms),Diphtheria,Tetanus,Pertussis,Hepatitis B,Haemophilus influenzae type B,Human Papillomavirus,Polio,Measles,Mumps,Rubella,Streptococcus pneumoniae"
"The Public Health Act, 2009",United Republic of Tanzania,12-Mar-09,12-Mar-09,"Polio,Diphtheria,Pertussis,Tetanus,Measles,Hepatitis B,Tuberculosis (all forms)"
Various State Laws,United States,1-Jan-00,1-Jan-00,"Diphtheria,Pertussis,Polio,Tetanus,Measles,Mumps,Rubella,Haemophilus influenzae type B,Varicella"
Organic Law on Public Health,Uruguay,22-Jan-34,12-Jan-34,
Declaration of Mandatory Vaccinations to be Administered to the Population,Uruguay,11-May-82,11-May-82,"Tuberculosis (all forms),Measles,Mumps,Rubella,Polio,Diphtheria,Tetanus,Pertussis"
Decree 542/007,Uruguay,27-Dec-07,14-Jan-08,
On the Protection of Citizens' Health,Uzbekistan,29-Aug-96,29-Aug-96,
Chapter 234 Public Health,Vanuatu,1-Jan-06,1-Jan-06,
Law on Immunizations,Venezuela (Bolivarian Republic of),8-Mar-96,8-Mar-96,"Tuberculosis (all forms),Haemophilus influenzae type B,Polio,Diphtheria,Pertussis,Tetanus,Hepatitis B,Rotavirus,Streptococcus pneumoniae,Influenza,Measles,Mumps,Rubella,Yellow Fever,Hepatitis A,Varicella"
On Prevention and Control of Infectious Diseases,Viet Nam (Vietnam),21-Nov-07,21-Nov-07,"Tuberculosis (all forms),Japanese Encephalitis,Hepatitis B,Polio,Diphtheria,Pertussis,Tetanus,Haemophilus influenzae type B,Measles,Rubella"
Law No. (4) of 2009 AD Concerning public health,Yemen,1-Jan-09,1-Jan-09,
"Public Health Act, 1930",Zambia,11-Apr-30,11-Apr-30,Smallpox
Public Health Act 2018,Zimbabwe,31-Aug-18,31-Aug-18,
