Country,Subtopic link,Status link,Status justification,iso_a3_eh
Australia,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,AUS
Australia,Enforcement of childhood vaccination requirement,Financial levers,"In Australia, parents that fail to immunize their children will receive a reduction in government family tax subsidies, as required routine immunizations are a precondition for this tax benefit. Additionally, some, but not all Australian states have implemented social exclusion from childcare institutions and schools for pupils that are not appropriately vaccinated. ",AUS
Australia,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,AUS
Australia,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,AUS
Australia,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",AUS
Austria,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,AUT
Austria,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,AUT
Austria,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,AUT
Austria,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,AUT
Austria,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",AUT
Azerbaijan,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,AZE
Azerbaijan,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,AZE
Azerbaijan,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,AZE
Azerbaijan,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. This vaccination may only be for Smallpox. ,AZE
Azerbaijan,Enforcement of emergency vaccination,Legal sanctions,"Individuals who refuse vaccination in the face of a health emergency will be criminalized, though the exact penalty is not clear. ",AZE
Bahamas,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,BHS
Bahamas,Enforcement of childhood vaccination requirement,Legal sanctions,"In the Bahamas, parents that fail to vaccinate their children are fined $4.00. ",BHS
Bahamas,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,BHS
Bahamas,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,BHS
Bahamas,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",BHS
Bahrain,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,BHR
Bahrain,Enforcement of childhood vaccination requirement,Legal sanctions,"In Bahrain, failing to vaccinate a child with vaccinations included in the schedule is punishable with a fine of 250-1000 dinars. ",BHR
Bahrain,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,BHR
Bahrain,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,BHR
Bahrain,Enforcement of emergency vaccination,Legal sanctions,"In Bahrain, individuals that fail to comply with vaccinations, when declared mandatory, are subject to an imprisonment of at least 3 months and a fine of up to 1,000 dinars. ",BHR
Bangladesh,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,BGD
Bangladesh,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,BGD
Bangladesh,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,BGD
Bangladesh,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,BGD
Bangladesh,Enforcement of emergency vaccination,Legal sanctions,"In Bangladesh, individuals that fail to comply with vaccinations, when declared mandatory, are subject to an imprisonment of at least 3 months and a fine of up to 50,000 Taka. ",BGD
Barbados,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,BRB
Barbados,Enforcement of childhood vaccination requirement,Social exclusion,"In Barbados, children without required vaccinations and without a rationale for an exemption will be prohibited from enrolling in school until those vaccinations are administered. ",BRB
Barbados,Exemption from childhood vaccination requirement,Medical and non-medical exemptions,Legislation specifies that medical and religious exemptions are permissible in lieu of vaccination for school enrollment. ,BRB
Barbados,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,BRB
Barbados,Enforcement of emergency vaccination,Legal sanctions,Individuals that refuse emergency vaccination will be assessed a fine of $5000 and/or imprisoned for up to 12 months. ,BRB
Belarus,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,BLR
Belarus,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,BLR
Belarus,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,BLR
Belarus,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,BLR
Belarus,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",BLR
Belgium,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,BEL
Belgium,Enforcement of childhood vaccination requirement,Legal sanctions,"In Belgium, failing to vaccinate a child with the Poliovirus vaccine is punishable with a fine of 26-100 francs and imprisonment of 8 days to one month. ",BEL
Belgium,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,BEL
Belgium,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,BEL
Belgium,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",BEL
Belize,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,BLZ
Belize,Enforcement of childhood vaccination requirement,Legal sanctions,"In Belize, parents that fail to have their children vaccinated will face a fine of up to BZ$ 25. ",BLZ
Belize,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,BLZ
Belize,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. This vaccination may only be for Smallpox. ,BLZ
Belize,Enforcement of emergency vaccination,Legal sanctions,"In Belize, individuals that fail to receive emergency vaccination against Smallpox may be fined $25 and face incarceration for up to 3 months. ",BLZ
Benin,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,BEN
Benin,Enforcement of childhood vaccination requirement,Legal sanctions,"In Benin, parents that fail to have their children vaccinated will face a fine between 25,000 and 250,000 CFA francs and/or a jail sentence between 1 month and 2 years. ",BEN
Benin,Exemption from childhood vaccination requirement,No exemptions specified,Legislation does not specify vaccination exemptions.,BEN
Benin,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,BEN
Benin,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",BEN
Bhutan,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,BTN
Bhutan,Enforcement of childhood vaccination requirement,Social exclusion,Vaccination is a prerequisite for admission to educational institutions. ,BTN
Bhutan,Exemption from childhood vaccination requirement,No exemptions specified,Legislation does not specify vaccination exemptions.,BTN
Bhutan,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,BTN
Bhutan,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",BTN
Bolivia (Plurinational State of),Childhood vaccination requirement,No childhood vaccination requirement,"There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. There was a law passed in 2005 (Law 3300) which mandated that children under the age of two be vaccinated. However, to enter into force, the law required a regulation stating the mandated vaccines and enforcement mechanisms be completed. This regulation was not identified through our methodology. ",BOL
Bolivia (Plurinational State of),Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,BOL
Bolivia (Plurinational State of),Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,BOL
Bolivia (Plurinational State of),Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,BOL
Bolivia (Plurinational State of),Enforcement of emergency vaccination,Legal sanctions,"In Bolivia, individuals that fail to comply with vaccinations, when declared mandatory, may be prosecuted under the Penal Code, though the exact repercussion is not clear. ",BOL
Bosnia and Herzegovina,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,BIH
Bosnia and Herzegovina,Enforcement of childhood vaccination requirement,Legal sanctions,"In Bosnia and Herzegovina, individuals that fail to immunize themselves or their children with mandatory vaccines can be fined between 100 and 2,000 KM. However, businesses or schools can also be fined for failing to ensure that employees or pupils are adequately healthy, which may include knowledge of their vaccination status. ",BIH
Bosnia and Herzegovina,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,BIH
Bosnia and Herzegovina,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,BIH
Bosnia and Herzegovina,Enforcement of emergency vaccination,Legal sanctions,"In Bosnia and Herzegovina, individuals that fail to immunize themselves or their children with mandatory emergency vaccines can be fined between 100 and 2,000 KM.",BIH
Botswana,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,BWA
Botswana,Enforcement of childhood vaccination requirement,Legal sanctions,"In Botswana, parents that fail to vaccinate their children will be fined up to 5000 Pula. Parents may also be jailed for up to 12 months. ",BWA
Botswana,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,BWA
Botswana,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,BWA
Botswana,Enforcement of emergency vaccination,Legal sanctions,"Anyone who fails to receive a mandatory emergency vaccination my receive a fine up to 100,000 Pula and/or jailed for up to 5 years. ",BWA
Brazil,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,BRA
Brazil,Enforcement of childhood vaccination requirement,2 or more enforcement mechanisms,"In Brazil, parents that fail to vaccinate their children may not be able to receive the annual family allowance (financial levers), may face a fine (Criminalization) and may be referred to the Guardianship Council for child neglect (Criminalization). ",BRA
Brazil,Exemption from childhood vaccination requirement,No exemptions specified,Legislation does not specify vaccination exemptions.,BRA
Brazil,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,BRA
Brazil,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",BRA
Brunei Darussalam,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,BRN
Brunei Darussalam,Enforcement of childhood vaccination requirement,Legal sanctions,"In Brunei, parents that fail to vaccinate their children will be fined up to 10,000 Brunei dollars and incarcerated for up to 6 months. ",BRN
Brunei Darussalam,Exemption from childhood vaccination requirement,No exemptions specified,Legislation does not specify vaccination exemptions.,BRN
Brunei Darussalam,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,BRN
Brunei Darussalam,Enforcement of emergency vaccination,Legal sanctions,"In Brunei, individuals that fail to receive mandatory emergency vaccines will be fined up to 10,000 Brunei dollars and incarcerated for up to 6 months. ",BRN
Bulgaria,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,BGR
Bulgaria,Enforcement of childhood vaccination requirement,Legal sanctions,"In Bulgaria, parents that fail to vaccinate their children will be fined between BGN 50-100. Parents that repeatedly fail to comply with requirements will be fined between BGN 100-200. ",BGR
Bulgaria,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,BGR
Bulgaria,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,BGR
Bulgaria,Enforcement of emergency vaccination,Legal sanctions,"Failure to comply with emergency vaccinations can lead to a fine between BGN 300-1,000. ",BGR
Burkina Faso,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,BFA
Burkina Faso,Enforcement of childhood vaccination requirement,Legal sanctions,"In Burkina Faso, parents that fail to vaccinate their children will be fined between 5,000 and 30,000 CFA francs and may be imprisoned between 5 and 15 days. ",BFA
Burkina Faso,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,BFA
Burkina Faso,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,BFA
Burkina Faso,Enforcement of emergency vaccination,Legal sanctions,"In Burkina Faso, individuals that refuse emergency vaccination will be fined between 5,000 and 30,000 CFA francs and may be imprisoned between 5 and 15 days. ",BFA
Burundi,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,BDI
Burundi,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,BDI
Burundi,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,BDI
Burundi,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. This is enforceable by a prison sentence of 6 months - 3 years and/or a fine of 2 million to 10 million Riels. ,BDI
Burundi,Enforcement of emergency vaccination,Legal sanctions,"Emergency vaccination is enforceable by a prison sentence of up to 3 months and/or a fine of up to 3,000 francs. ",BDI
Cabo Verde (Cape Verde),Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,CPV
Cabo Verde (Cape Verde),Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,CPV
Cabo Verde (Cape Verde),Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,CPV
Cabo Verde (Cape Verde),Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,CPV
Cabo Verde (Cape Verde),Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",CPV
Cambodia,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,KHM
Cambodia,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,KHM
Cambodia,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,KHM
Cambodia,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. This is enforceable by a prison sentence of 6 months - 3 years and/or a fine of 2 million to 10 million Riels. ,KHM
Cambodia,Enforcement of emergency vaccination,Legal sanctions,Emergency vaccination is enforceable by a prison sentence of 6 months - 3 years and/or a fine of 2 million to 10 million Riels. ,KHM
Cameroon,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,CMR
Cameroon,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,CMR
Cameroon,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,CMR
Cameroon,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,CMR
Cameroon,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",CMR
Canada,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,CAN
Canada,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,CAN
Canada,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,CAN
Canada,Emergency vaccination authority,No emergency power to vaccinate,"There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. However, some provinces may have legislation or a constitutional right to mandate vaccination. ",CAN
Canada,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",CAN
Central African Republic (CAR),Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,CAF
Central African Republic (CAR),Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,CAF
Central African Republic (CAR),Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,CAF
Central African Republic (CAR),Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,CAF
Central African Republic (CAR),Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",CAF
Chad,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,TCD
Chad,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,TCD
Chad,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,TCD
Chad,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,TCD
Chad,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",TCD
Chile,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,CHL
Chile,Enforcement of childhood vaccination requirement,Legal sanctions,"In Chile, unvaccinated individuals can be fined between 5.159 and 51,592,000 Chilean pesos. ",CHL
Chile,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,CHL
Chile,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,CHL
Chile,Enforcement of emergency vaccination,Legal sanctions,"In Chile, unvaccinated individuals can be fined between 5.159 and 51,592,000 Chilean pesos. ",CHL
China (People's Republic of China; PRC),Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,CHN
China (People's Republic of China; PRC),Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,CHN
China (People's Republic of China; PRC),Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,CHN
China (People's Republic of China; PRC),Emergency vaccination authority,No emergency power to vaccinate,"There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. However, some provinces may have used legislative powers to mandate vaccination during the COVID-19 pandemic. ",CHN
China (People's Republic of China; PRC),Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",CHN
Chinese Taipei (Taiwan; Republic of China; ROC),Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,TWN
